#Format: frequency (Hz)  ratio (dB)  phase (deg)
     1035.18     -210.842     -46.7074
     1044.77     -210.709     -46.1041
     1054.44     -210.577     -45.5076
     1064.21     -210.444     -44.9178
     1074.07     -210.312     -44.3344
     1084.01     -210.179     -43.7574
     1094.05     -210.046     -43.1865
     1104.19     -209.913     -42.6216
     1114.42      -209.78     -42.0625
     1124.74     -209.647     -41.5091
     1135.15     -209.514     -40.9613
     1145.67     -209.381     -40.4189
     1156.28     -209.248     -39.8818
     1166.99     -209.115     -39.3498
      1177.8     -208.982     -38.8228
     1188.71      -208.85     -38.3007
     1199.72     -208.717     -37.7834
     1210.83     -208.585     -37.2708
     1222.04     -208.453     -36.7626
     1233.36     -208.321     -36.2589
     1244.79     -208.189     -35.7595
     1256.32     -208.057     -35.2642
     1267.95     -207.926     -34.7731
      1279.7     -207.795     -34.2859
     1291.55     -207.664     -33.8025
     1303.51     -207.534     -33.3229
     1315.59     -207.404     -32.8469
     1327.77     -207.274     -32.3744
     1340.07     -207.145     -31.9053
     1352.48     -207.016     -31.4395
     1365.01     -206.888     -30.9769
     1377.65      -206.76     -30.5174
     1390.41     -206.632     -30.0609
     1403.29     -206.505     -29.6071
     1416.29     -206.378     -29.1562
      1429.4     -206.252     -28.7079
     1442.64     -206.127     -28.2621
     1456.01     -206.002     -27.8187
     1469.49     -205.877     -27.3776
      1483.1     -205.753     -26.9388
     1496.84      -205.63     -26.5019
      1510.7     -205.507     -26.0671
      1524.7     -205.385      -25.634
     1538.82     -205.264     -25.2026
     1553.07     -205.143     -24.7729
     1567.46     -205.023     -24.3446
     1581.97     -204.904     -23.9176
     1596.63     -204.786     -23.4918
     1611.41     -204.668     -23.0672
     1626.34     -204.551     -22.6434
      1641.4     -204.435     -22.2204
     1656.61      -204.32     -21.7981
     1671.95     -204.206     -21.3763
     1687.44     -204.093     -20.9548
     1703.06      -203.98     -20.5335
     1718.84     -203.869     -20.1124
     1734.76     -203.758      -19.691
     1750.83     -203.649     -19.2694
     1767.04     -203.541     -18.8473
     1783.41     -203.433     -18.4245
     1799.93     -203.327     -18.0009
      1816.6     -203.222     -17.5763
     1833.43     -203.118     -17.1505
     1850.41     -203.015     -16.7231
     1867.55     -202.914     -16.2942
     1884.84     -202.813     -15.8633
      1902.3     -202.714     -15.4304
     1919.92     -202.617     -14.9951
      1937.7      -202.52     -14.5571
     1955.65     -202.425     -14.1162
     1973.76     -202.332     -13.6721
     1992.05      -202.24     -13.2246
      2010.5     -202.149     -12.7733
     2029.12      -202.06     -12.3179
     2047.91     -201.973      -11.858
     2066.88     -201.887     -11.3934
     2086.02     -201.803     -10.9236
     2105.35      -201.72     -10.4481
     2124.85     -201.639     -9.96672
     2144.53      -201.56     -9.47884
     2164.39     -201.483     -8.98409
     2184.44     -201.407     -8.48195
     2204.67     -201.334     -7.97191
     2225.09     -201.262     -7.45344
      2245.7     -201.192     -6.92597
      2266.5     -201.124     -6.38888
     2287.49     -201.059     -5.84148
     2308.68     -200.995     -5.28322
     2330.06     -200.933     -4.71329
     2351.64     -200.874     -4.13096
     2373.42     -200.816     -3.53545
     2395.41     -200.761      -2.9259
     2417.59     -200.708     -2.30144
     2439.99     -200.657     -1.66114
     2462.59     -200.608     -1.00399
      2485.4     -200.562    -0.328986
     2508.42     -200.518     0.364981
     2531.65     -200.476      1.07905
      2555.1     -200.436      1.81443
     2578.76     -200.398      2.57236
     2602.65     -200.363      3.35416
     2626.75     -200.329       4.1612
     2651.08     -200.298       4.9949
     2675.64     -200.268      5.85672
     2700.42      -200.24      6.74818
     2725.43     -200.214      7.67076
     2750.68     -200.189      8.62617
     2776.15     -200.166      9.61584
     2801.87     -200.144      10.6414
     2827.82     -200.123      11.7046
     2854.01     -200.102      12.8066
     2880.44     -200.082      13.9492
     2907.12     -200.061      15.1336
     2934.05     -200.041      16.3612
     2961.23     -200.019      17.6328
     2988.65     -199.997      18.9494
     3016.33     -199.972      20.3117
     3044.27     -199.946      21.7198
     3072.47     -199.916      23.1736
     3100.93     -199.883      24.6728
     3129.65     -199.847      26.2162
     3158.64     -199.806      27.8024
     3187.89     -199.759      29.4293
     3217.42     -199.707      31.0944
     3247.22     -199.649      32.7942
     3277.29     -199.584       34.525
